station_name,station_id,lat,lng
Liberty State Park,3475,40.703693,-74.0523156
57 St & 1 Ave - Brooklyn Army Terminal Vaccination Site,3178.02,40.646377,-74.023087
Park Pl & Franklin Ave,3578,40.6741806,-73.9564947
Van Brunt St & Wolcott St,3347,40.6773429,-74.01275056
Atlantic Ave & Fort Greene Pl,83,40.68382604,-73.97632328
Lexington Ave & Classon Ave,4452.03,40.68676793,-73.95928168
DeKalb Ave & Hudson Ave,324,40.689888,-73.981013
Court St & State St,4488.08,40.6902375,-73.99203074
Willoughby Ave & Hall St,244,40.69196035,-73.96536851
Clinton St & Joralemon St,143,40.69239502,-73.99337909
Myrtle Ave & St Edwards St,4659.02,40.69327018,-73.97703874
Jay St & Tech Pl,392,40.695065,-73.987167
Hicks St & Montague St,406,40.69512845,-73.99595065
Putnam Ave & Wyckoff Ave,4735.03,40.69811,-73.90904
Sands St Gate,4812.04,40.699569,-73.979827
Cadman Plaza E & Red Cross Pl,4821.06,40.69991755,-73.98971773
South St & Whitehall St,4846.01,40.70122128,-74.01234218
Jay St & York St,3674,40.70140317,-73.9867267
Front St & Jay St,3804,40.702461,-73.986842
Water - Whitehall Plaza,534,40.70255065,-74.0127234
Old Fulton St,217,40.70277159,-73.99383605
Central Ave & Flushing Ave,4947.04,40.702831,-73.9333
South St & Gouverneur Ln,315,40.70355377,-74.00670227
Wall St & South St,3919,40.70437,-74.00637
Broadway & Battery Pl,304,40.70463334,-74.01361706
Front St & Maiden Ln,351,40.70530954,-74.00612572
Little West St & 1 Pl,2008,40.70569254,-74.01677685
Bergen Ave & Stegman St,JC108,40.706575,-74.0867
Bergen Ave & Stegman St,JC108,40.706575,-74.086701
Bergen Ave & Stegman St,JC108,40.70657545,-74.08670068
William St & Pine St,5065.12,40.70717936,-74.00887308
Peck Slip & Front St,279,40.707873,-74.00167
West Thames St,363,40.70834698,-74.01713445
Liberty St & Nassau St,5105.09,40.70858894,-74.00935482
John St & William St,376,40.70862144,-74.00722156
Scholes St & Manhattan Ave,5108.01,40.70870368,-73.9448625
Liberty St & Broadway,195,40.70905623,-74.01043382
Grant Ave & MLK Dr,JC107,40.70919832,-74.08084273
Albany St & Greenwich St,5145.02,40.709267,-74.013247
JCBS Depot,3426,40.70965083,-74.06860113
,,40.71,-74.04
,,40.71,-74.03
,,40.71,-74.06
,,40.71,-74.08
Fulton St & Broadway,319,40.711066,-74.009447
Jackson Square,3694,40.71113,-74.0789
St James Pl & Pearl St,82,40.71117416,-74.00016545
Liberty Light Rail,JC052,40.711242,-74.055701
Liberty Light Rail,3192,40.7112423,-74.0557013
West St & Liberty St,3906,40.711444,-74.014847
South End Ave & Liberty St,3002,40.711512,-74.015756
Morris Canal,JC072,40.712418,-74.038525
Morris Canal,3267,40.71241882,-74.03852552
Morris Canal,JC072,40.712419,-74.038526
Essex Light Rail,JC038,40.712774,-74.036486
Essex Light Rail,JC038,40.712774,-74.036485
Essex Light Rail,3214,40.7127742,-74.0364857
Barclay St & Church St,417,40.71291224,-74.01020234
St James Pl & Oliver St,308,40.71307916,-73.99851193
Lafayette Park,JC078,40.713463,-74.062858
Lafayette Park,3268,40.71346383,-74.06285852
Lafayette Park,JC078,40.713464,-74.062859
Paulus Hook,JC002,40.714145,-74.033551
Paulus Hook,JC002,40.714145,-74.033552
Paulus Hook,3184,40.7141454,-74.0335519
Canal St & Rutgers St,5303.08,40.71427487,-73.98990025
Communipaw & Berry Lane,JC084,40.714358,-74.06661
Communipaw & Berry Lane,JC084,40.714358,-74.066611
Communipaw & Berry Lane,3277,40.71435837,-74.06661093
Reade St & Broadway,5247.1,40.71450451,-74.00562789
Marin Light Rail,JC013,40.714584,-74.042817
Marin Light Rail,3276,40.71458404,-74.04281706
Murray St & Greenwich St,3461,40.71485151,-74.01122332
Centre St & Worth St,5279.03,40.71494807,-74.00234482
Murray St & West St,309,40.7149787,-74.013012
Grand St,JC102,40.715177,-74.037683
Grand St,3681,40.71517768,-74.03768331
Grand St,JC102,40.715178,-74.037683
Vesey Pl & River Terrace,327,40.7153379,-74.01658354
Bayard St & Baxter St,355,40.71602118,-73.99974372
Hudson St & Reade St,146,40.71625008,-74.0091059
NYCBS DEPOT - DELANCEY,SYS014,40.716444,-73.982331
NYCBS DEPOT - DELANCEY,3245,40.71644423,-73.98233056
York St,3481,40.71649,-74.04105
JC Medical Center,JC011,40.716539,-74.049637
JC Medical Center,3205,40.71653978,-74.04963791
JC Medical Center,JC011,40.71654,-74.049638
Columbus Dr at Exchange Pl,3792,40.71687,-74.03281
West St & Chambers St,5329.03,40.717548,-74.013221
West St & Chambers St,426,40.71754834,-74.01322069
Withers St & Kingsland Ave,3817,40.71773,-73.94051
City Hall,JC003,40.717732,-74.043845
City Hall,3185,40.7177325,-74.043845
City Hall,JC003,40.717733,-74.043845
Driggs Ave & N 9 St,3715,40.71816969,-73.95520136
Union St,JC051,40.718211,-74.083639
Union St,3191,40.7182113,-74.0836394
Columbus Drive,JC014,40.718355,-74.038914
Columbus Drive,3275,40.7183552,-74.03891444
Van Vorst Park,JC035,40.718488,-74.047726
Van Vorst Park,3213,40.71848892,-74.04772663
Van Vorst Park,JC035,40.718489,-74.047727
Harrison St & Hudson St,249,40.71870987,-74.0090009
Grand St & Elizabeth St,3435,40.718822,-73.99596
Howard St & Centre St,268,40.71910537,-73.99973337
Harborside,JC104,40.719251,-74.034234
Harborside,3639,40.7192517,-74.034234
Harborside,JC104,40.719252,-74.034234
Astor Place,JC077,40.719282,-74.071262
Astor Place,JC077,40.719282,-74.071261
Astor Place,3280,40.7192822,-74.07126188
Montgomery St,3483,40.71942,-74.05099
Grove St PATH,JC005,40.719586,-74.043117
Grove St PATH,3186,40.71958612,-74.04311746
,,40.72,-74.04
,,40.72,-74.03
,,40.72,-74.05
,,40.72,-74.08
,,40.72,-74.07
,,40.72,-74.06
North Moore St & Greenwich St,3664,40.72019521,-74.01030064
Warren St,JC006,40.721123,-74.03805
Warren St,3187,40.7211236,-74.03805095
Warren St,JC006,40.721124,-74.038051
Newark Ave,JC032,40.721525,-74.046305
Newark Ave,JC032,40.721525,-74.046304
Newark Ave,3211,40.72152515,-74.04630454
Dixon Mills,JC076,40.72163,-74.049967
Dixon Mills,JC076,40.72163,-74.049968
Dixon Mills,3279,40.72163014,-74.04996783
Manila & 1st,JC082,40.72165,-74.042884
Manila & 1st,3273,40.72165072,-74.04288411
Manila & 1st,JC082,40.721651,-74.042884
Bergen Ave,JC095,40.722103,-74.071455
Bergen Ave,3679,40.72210379,-74.071455
Cleveland Pl & Spring St,5492.05,40.72210379,-73.99724901
Bergen Ave,JC095,40.722104,-74.071455
6 Ave & Canal St,377,40.72243797,-74.00566443
Mott St & Prince St,251,40.72317958,-73.99480012
Jersey & 3rd,JC074,40.723331,-74.045952
Jersey & 3rd,3272,40.72333159,-74.04595256
Jersey & 3rd,JC074,40.723332,-74.045953
Mercer St & Spring St,303,40.72362738,-73.99949601
Baldwin at Montgomery,JC020,40.723658,-74.064194
Baldwin at Montgomery,3225,40.7236589,-74.0641943
Baldwin at Montgomery,JC020,40.723659,-74.064194
Watts St & Greenwich St,328,40.72405549,-74.00965965
Brunswick St,JC023,40.724176,-74.050656
Brunswick St,3209,40.7241765,-74.0506564
Brunswick St,JC023,40.724177,-74.050656
Washington St,JC098,40.724294,-74.035483
Washington St,JC098,40.724294,-74.035482
Washington St,3638,40.7242941,-74.0354826
6 Ave & Broome St,5610.09,40.72430832,-74.00473036
Lincoln Park,JC053,40.724605,-74.078405
Lincoln Park,JC053,40.724605,-74.078406
Lincoln Park,3193,40.7246051,-74.07840595
W Broadway & Spring Street,3467,40.72494672,-74.00165856
Jersey & 6th St,JC027,40.725289,-74.045572
Jersey & 6th St,JC027,40.725289,-74.045571
Jersey & 6th St,3270,40.72528911,-74.04557168
McGinley Square,JC055,40.725339,-74.067622
McGinley Square,3194,40.72533993,-74.06762213
McGinley Square,JC055,40.72534,-74.067622
Monmouth and 6th,JC075,40.725685,-74.04879
Monmouth and 6th,3278,40.72568548,-74.04879034
Fairmount Ave,JC093,40.725726,-74.071959
Fairmount Ave,3678,40.72572614,-74.07195926
Spring St & Hudson St,5653.12,40.72583997,-74.0076533
1 Ave & E 5 St,3744,40.725864,-73.986389
Brunswick & 6th,JC081,40.726011,-74.050388
Brunswick & 6th,3269,40.72601173,-74.05038893
Brunswick & 6th,JC081,40.726012,-74.050389
E 7 St & Avenue A,5626.07,40.72621788,-73.98379855
1 Ave & E 6 St,5626.15,40.72633086,-73.9861688
MacDougal St & Prince St,128,40.72710258,-74.00297088
Newport PATH,JC066,40.727223,-74.033758
Newport PATH,3202,40.7272235,-74.0337589
Newport PATH,JC066,40.727224,-74.033759
Glenwood Ave,JC094,40.727551,-74.07106
Glenwood Ave,JC094,40.727551,-74.071061
Glenwood Ave,3677,40.72755147,-74.07106072
Hamilton Park,JC009,40.727595,-74.044247
Hamilton Park,3203,40.72759597,-74.04424731
Hamilton Park,JC009,40.727596,-74.044247
Pier 40 - Hudson River Park,3256,40.72771408,-74.01129574
St Marks Pl & 1 Ave,5626.13,40.72779126,-73.98564945
St Marks Pl & 2 Ave,5669.1,40.7284186,-73.98713956
Pier 40 X2,3748,40.72848686,-74.01169271
Pier 40 Dock Station,3794,40.72865963,-74.01197971
Pier 40 Dock Station,SYS035,40.72866,-74.01198
Newport Pkwy,JC008,40.728744,-74.032108
Newport Pkwy,3199,40.7287448,-74.0321082
Newport Pkwy,JC008,40.728745,-74.032108
Greenwich St & W Houston St,347,40.728846,-74.008591
,,40.73,-74.04
,,40.73,-74.07
,,40.73,-74.06
,,40.73,-74.05
,,40.73,-74.03
Sip Ave,JC056,40.730897,-74.063912
Sip Ave,JC056,40.730897,-74.063913
Sip Ave,3195,40.7308971,-74.06391263
Morton St & Washington St,5772.05,40.73115,-74.00887
Hilltop,JC019,40.731168,-74.057573
Hilltop,3206,40.7311689,-74.0575736
Hilltop,JC019,40.731169,-74.057574
Barrow St & Hudson St,127,40.73172428,-74.00674436
Washington St & Barrow St,5847.08,40.73191132,-74.00876909
1 Ave & E 16 St,504,40.73221853,-73.98165557
Washington Pl & 6 Ave,5838.09,40.73224119,-74.00026394
Christopher St & Greenwich St,358,40.73291553,-74.00711384
W 10 St & Washington St,5847.06,40.73342399,-74.00851496
Journal Square,3640,40.73367,-74.0625
W 4 St & 7 Ave S,380,40.73401143,-74.00293877
Broadway & E 14 St,285,40.73454567,-73.99074142
Christ Hospital,JC034,40.734785,-74.050443
Christ Hospital,3212,40.73478582,-74.05044364
Christ Hospital,JC034,40.734786,-74.050444
5 Corners Library,JC018,40.734961,-74.059503
5 Corners Library,3220,40.73496102,-74.05950308
Hoboken Ave at Monmouth St,JC105,40.735208,-74.046964
Hoboken Ave at Monmouth St,JC105,40.735208,-74.046963
Hoboken Ave at Monmouth St,3791,40.73520838,-74.04696375
Greenwich Ave & Charles St,383,40.735238,-74.000271
W 11 St & 6 Ave,254,40.73532427,-73.99800419
W 13 St & 5 Ave,5947.04,40.735445,-73.99431
Hoboken Terminal - Hudson St & Hudson Pl,HB101,40.735937,-74.030304
Hoboken Terminal - Hudson St & Hudson Pl,HB101,40.73593758,-74.03030455
Hoboken Terminal - Hudson St & Hudson Pl,HB101,40.735938,-74.030305
Hoboken Terminal - River St & Hudson Pl,HB102,40.735953,-74.029178
Hoboken Terminal - River St & Hudson Pl,HB102,40.73595384,-74.02917802
Hoboken Terminal - River St & Hudson Pl,HB102,40.735954,-74.029178
Hoboken Terminal - River St & Hudson Pl,HB102,40.736047,-74.029124
Hoboken Terminal - River St & Hudson Pl,HB102,40.73604733,-74.02912438
Hoboken Terminal - River St & Hudson Pl,HB102,40.736067,-74.029127
Hoboken Terminal - River St & Hudson Pl,HB102,40.73606766,-74.02912706
Hoboken Terminal - River St & Hudson Pl,HB102,40.736068,-74.029127
South Waterfront Walkway - Sinatra Dr & 1 St,HB103,40.736982,-74.02778
South Waterfront Walkway - Sinatra Dr & 1 St,HB103,40.736982,-74.027781
South Waterfront Walkway - Sinatra Dr & 1 St,HB103,40.73698222,-74.02778059
E 16 St & 5 Ave,496,40.73726186,-73.99238967
Southwest Park - Jackson St & Observer Hwy,HB401,40.737551,-74.041663
Southwest Park - Jackson St & Observer Hwy,HB401,40.737551,-74.041664
Southwest Park - Jackson St & Observer Hwy,HB401,40.73755127,-74.04166371
Oakland Ave,JC022,40.737603,-74.052478
Oakland Ave,3207,40.7376037,-74.0524783
Oakland Ave,JC022,40.737604,-74.052478
Dey St,3201,40.737711,-74.066921
W 13 St & 7 Ave,223,40.73781509,-73.99994661
W 15 St & 6 Ave,5989.02,40.73804614,-73.99642959
Madison St & 1 St,HB402,40.73879,-74.0393
Grand St & 2 St,HB405,40.73913,-74.03618
Washington St & Gansevoort St,405,40.739323,-74.008119
W 15 St & 7 Ave,6030.06,40.73935542,-73.99931783
,,40.74,-74.04
,,40.74,-74.05
,,40.74,-74.03
2 St HBLR - 2 St & Marshall St,HB403,40.740801,-74.042434
2 St HBLR - 2 St & Marshall St,HB403,40.7408019,-74.04243484
2 St HBLR - 2 St & Marshall St,HB403,40.740802,-74.042435
W 21 St & 6 Ave,435,40.74173969,-73.99415556
W 17 St & 8 Ave,116,40.74177603,-74.00149746
10 Ave & W 14 St,6157.04,40.7419816,-74.0083158
4 St & Grand St,HB301,40.742257,-74.035111
4 St & Grand St,HB301,40.74225798,-74.03511107
4 St & Grand St,HB301,40.742258,-74.035111
Church Sq Park - 5 St & Park Ave,HB601,40.742659,-74.032233
Church Sq Park - 5 St & Park Ave,HB601,40.74265933,-74.03223306
Pershing Field,JC024,40.742677,-74.051788
Pershing Field,JC024,40.742677,-74.051789
Pershing Field,3210,40.74267714,-74.05178863
Lexington Ave & E 29 St,540,40.74311555,-73.98215353
Stevens - River Ter & 6 St,HB602,40.743132,-74.026988
Stevens - River Ter & 6 St,HB602,40.74313283,-74.02698867
Stevens - River Ter & 6 St,HB602,40.743133,-74.026989
Mama Johnson Field - 4 St & Jackson St,HB404,40.743139,-74.04004
Mama Johnson Field - 4 St & Jackson St,HB404,40.74313994,-74.04004097
Mama Johnson Field - 4 St & Jackson St,HB404,40.74314,-74.040041
9 Ave & W 18 St,6190.08,40.743174,-74.003664
9 Ave & W 18 St,6190.08,40.74317449,-74.00366443
E 31 St & 3 Ave,476,40.74394314,-73.97966069
Riverview Park,JC057,40.744318,-74.04399
Riverview Park,3196,40.7443187,-74.0439909
Riverview Park,JC057,40.744319,-74.043991
6 St & Grand St,HB302,40.744397,-74.0345
6 St & Grand St,HB302,40.74439783,-74.03450087
6 St & Grand St,HB302,40.744398,-74.034501
Clinton St & 7 St,HB303,40.74542,-74.03332
Leonard Gordon Park,JC080,40.745909,-74.057271
Leonard Gordon Park,3281,40.74590997,-74.05727148
Leonard Gordon Park,JC080,40.74591,-74.057271
8 St & Washington St,HB603,40.745983,-74.028199
8 St & Washington St,HB603,40.74598388,-74.02819902
8 St & Washington St,HB603,40.745984,-74.028199
7 St & Monroe St,HB304,40.746412,-74.037977
7 St & Monroe St,HB304,40.74641265,-74.03797701
7 St & Monroe St,HB304,40.746413,-74.037977
W 27 St & 7 Ave,442,40.746647,-73.993915
W 20 St & 11 Ave,459,40.746745,-74.007756
E 39 St & 2 Ave,518,40.74780373,-73.9734419
9 St HBLR - Jackson St & 8 St,HB305,40.747907,-74.038411
9 St HBLR - Jackson St & 8 St,HB305,40.747907,-74.038412
9 St HBLR - Jackson St & 8 St,HB305,40.74790721,-74.03841153
Columbus Park - Clinton St & 9 St,HB501,40.748161,-74.032453
Columbus Park - Clinton St & 9 St,HB501,40.74816121,-74.032453
Columbus Park - Clinton St & 9 St,HB501,40.7482,-74.0325
Heights Elevator,JC059,40.748715,-74.040443
Heights Elevator,3198,40.74871595,-74.0404433
Heights Elevator,JC059,40.748716,-74.040443
6 Ave & W 33 St,505,40.74901271,-73.98848395
W 31 St & 7 Ave,6331.01,40.749156,-73.9916
6 Ave & W 34 St,6364.1,40.74964,-73.98805
W 26 St & 10 Ave,6382.05,40.74971775,-74.00295035
Madison St & 10 St,HB503,40.749943,-74.035864
Madison St & 10 St,HB503,40.749943,-74.035865
Madison St & 10 St,HB503,40.74994325,-74.03586477
11 St & Washington St,HB502,40.749984,-74.02715
11 St & Washington St,HB502,40.74998491,-74.02715027
11 St & Washington St,HB502,40.749985,-74.02715
,,40.75,-74.02
,,40.75,-74.03
,,40.75,-74.04
E 43 St & 2 Ave,6422.08,40.75022392,-73.97121414
W 37 St & 5 Ave,6398.06,40.75038009,-73.98338988
10 Ave & W 28 St,489,40.75066386,-74.00176802
Adams St & 11 St,HB507,40.750915,-74.03354
Adams St & 11 St,HB507,40.75091553,-74.03354064
Adams St & 11 St,HB507,40.750916,-74.033541
Willow Ave & 12 St,HB505,40.751867,-74.030377
Willow Ave & 12 St,HB505,40.75186748,-74.03037697
Pershing Square North,519,40.751873,-73.977706
W 40 St & 5 Ave,3798,40.752269,-73.982079
W 30 St & 10 Ave,3735,40.752694,-74.002353
14 St Ferry - 14 St & Shipyard Ln,HB202,40.75296,-74.024352
14 St Ferry - 14 St & Shipyard Ln,HB202,40.75296063,-74.02435273
14 St Ferry - 14 St & Shipyard Ln,HB202,40.752961,-74.024353
Grand St & 14 St,HB506,40.75409,-74.0316
Bloomfield St & 15 St,HB203,40.75453,-74.02658
8 Ave & W 38 St,6526.05,40.75461,-73.99177
W 35 St & Dyer Ave,6569.08,40.75469175,-73.99740189
W 42 St & 6 Ave,6517.08,40.75492,-73.98455
W 44 St & 5 Ave,484,40.75500254,-73.98014437
Broadway & W 41 St,6560.01,40.75513557,-73.98658032
Broadway & W 41 St,6560.01,40.755136,-73.98658
W 34 St & 11 Ave,525,40.75594159,-74.0021163
E 51 St & Lexington Ave,6659.01,40.75714758,-73.97207836
W 45 St & 8 Ave,2021,40.75929124,-73.98859651
E 56 St & 3 Ave,464,40.75934501,-73.96759673
E 53 St & Madison Ave,456,40.7597108,-73.97402311
11 Ave & W 41 St,6726.01,40.76030096,-73.99884222
Broadway & W 49 St,173,40.76068327,-73.98452729
12 Ave & W 40 St,6765.01,40.760875,-74.002777
12 Ave & W 40 St,514,40.76087502,-74.00277668
W 52 St & 6 Ave,3443,40.76132983,-73.97982001
W 44 St & 11 Ave,6756.05,40.762009,-73.996975
W 49 St & 8 Ave,6747.06,40.76227205,-73.98788205
Broadway & W 51 St,500,40.76228826,-73.98336183
W 47 St & 10 Ave,495,40.76269882,-73.99301222
W 55 St & 6 Ave,6809.09,40.763189,-73.978434
W 46 St & 11 Ave,6795.01,40.76341379,-73.99667444
8 Ave & W 52 St,6816.07,40.76370739,-73.9851615
Grand Army Plaza & Central Park S,6839.1,40.7643971,-73.97371465
W 50 St & 10 Ave,6890.06,40.7647342,-73.9919436
Broadway & W 56 St,468,40.7652654,-73.98192338
Central Park S & 6 Ave,2006,40.76590936,-73.97634151
W 53 St & 10 Ave,480,40.76669671,-73.99061728
2 Ave & E 72 St,6925.09,40.76876203,-73.95840794
11 Ave & W 59 St,7059.01,40.77149671,-73.99046034
West End Ave & W 60 St,7059.08,40.77237,-73.99005
5 Ave & E 72 St,7100.07,40.772828,-73.966853
E 85 St & York Ave,3150,40.77536905,-73.94803392
E 88 St & Park Ave,7293.1,40.7814107,-73.95595908
Riverside Dr & W 78 St,3178,40.78414472,-73.98362492
W 95 St & Broadway,3314,40.7937704,-73.971888
Lenox Ave & W 111 St,3521,40.7987859,-73.9523
E 123 St & Lexington Ave,3504,40.8029263,-73.9379
Cathedral Pkwy & Broadway,7680.03,40.804213,-73.96699104
Frederick Douglass Blvd & W 117 St,7688.12,40.805159,-73.954692
Adam Clayton Powell Blvd & W 126 St,3629,40.80949535,-73.94776493
Morningside Ave & W 123 St,3540,40.81,-73.9551508
W 120 St & Claremont Ave,3623,40.8109494,-73.9634
Broadway & W 122 St,3545,40.8120562,-73.9612547
Broadway & Moylan Pl,3547,40.8143256,-73.9590255
W 129 St & Convent Ave,3649,40.81439444,-73.95324737
St Nicholas Ave & E 134 St,3934,40.816234,-73.948222
Lenox Ave & W 144 St,4000,40.819783,-73.936521
Edgecombe Ave & W 141 St,4004,40.820681,-73.945144
W 147 St & Adam Clayton Powell Blvd,7971.07,40.82281,-73.937413
Riverside Dr & W 138 St,4007,40.823168,-73.955857
Westchester Ave & Southern Blvd,8004.03,40.824956,-73.891677
E 161 St & River Ave,8041.07,40.827883,-73.927111
Jerome Ave & E 164 St,8096.02,40.831444,-73.926226
Broadway & W 155 St,8123.02,40.83299,-73.94592
Boston Rd & Prospect Ave,8133.08,40.833246,-73.896599
Broadway & W 160 St,4071,40.835775,-73.9434
W 169 St & Fort Washington Ave,3992,40.8428422,-73.9421253
Fort Washington Ave & W 173 St,4061,40.84522,-73.940493
Grand Concourse & E 175 St,8303.06,40.846221,-73.909232
Cabrini Blvd & W 177 St,4069,40.848282,-73.941343
Wadsworth Ave & W 179 St,8336.02,40.848467,-73.936064
W 180 St & Ft Washington Ave,8358.03,40.849972,-73.938423
W 181 St & Riverside Dr,8381.04,40.85168,-73.94186
